compound_id,smiles,n_confs,temperature_K,aq_psa3d,mem_psa3d,delta_psa3d,psa3d_std,psa3d_spread,bw_psa3d,norm_delta_psa,tpsa_2d,ensemble_energy,pop_lowest_pct,unique_confs,error
P.Pr_Gly.dL.bHph.dP.Me_dL.F,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,1940.0,298.15,97.1465,50.0707,47.0758,10.9788,47.0758,64.3578,0.045165,168.54,0.275,67.684,1940.0,
dA.Me_dL.meL.dP.meL.F,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,3005.0,298.15,73.8265,33.944,39.8825,8.032,39.8825,59.1752,0.042863,139.44,0.619,39.47,3005.0,
meA.Me_dL.meL.P.meL.F,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N1C,1566.0,298.15,71.4873,46.2815,25.2058,5.5747,25.2058,67.0527,0.027039,130.65,0.387,51.498,1566.0,
A.L.Me_dL.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,433.0,298.15,80.0128,43.7951,36.2177,6.8073,36.2177,52.2557,0.040487,148.23000000000002,0.548,40.372,433.0,
A.meL.Bn_Gly.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,1956.0,298.15,100.5675,41.4958,59.0717,13.8074,59.0717,51.1773,0.065651,148.23,0.553,49.161,1956.0,
dP.A.Me_dL.bHph.dP.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1C,1876.0,298.15,95.9552,45.2708,50.6844,8.6839,50.6844,75.3769,0.051897,168.54,0.486,46.767,1876.0,
dP.dA.Me_dL.dL.dP.meL.F,CC(C)C[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N1C,1617.0,298.15,88.3894,40.9987,47.3907,8.5429,47.3907,61.9472,0.047636,168.54,0.771,23.938,1617.0,
dP.dA.L.L.dP.meL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,2495.0,298.15,101.2954,38.437,62.8584,13.818,62.8584,52.288,0.066923,177.33,0.194,79.198,2495.0,
P.bHph.dL.bHph.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,3388.0,298.15,107.2218,48.7509,58.4709,10.3898,58.4709,81.4759,0.052041,177.33,0.495,27.375,3388.0,
dA.dL.meL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,3732.0,298.15,89.7886,40.5966,49.192,8.9874,49.192,65.8187,0.053197,148.23000000000002,0.424,43.103,3732.0,
dP.dL.Pye.dL.Hph.L,CC(C)C[C@@H]1NC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCC(=O)N2CCCC2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C1=O,1727.0,298.15,91.7559,48.9748,42.7811,6.6925,42.7811,70.086,0.042668,186.12,0.308,68.797,1727.0,
dA.L.L.P.dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,3234.0,298.15,122.9107,55.3957,67.515,12.5658,67.515,78.7477,0.072259,165.81,0.216,72.582,3234.0,
Me_dA.Me_dL.bHph.P.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,550.0,298.15,80.5668,46.4438,34.123,6.8493,34.123,61.683,0.036082,139.44,0.473,25.939,550.0,
P.Me_dA.L.meL.P.meL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,2716.0,298.15,90.6135,46.2728,44.3407,10.4591,44.3407,65.1743,0.04428,159.75,0.552,27.719,2716.0,
Pr_Gly.meL.L.P.Bn_Gly.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,3100.0,298.15,81.5783,50.0146,31.5637,6.6329,31.5637,65.3681,0.032393,139.44,1.036,8.98,3100.0,
Tyr(Me).P.dP.dL.L.L,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@@H]3CCCN3C2=O)cc1,4065.0,298.15,119.9336,67.8219,52.1117,9.1138,52.1117,98.9978,0.054313,166.25,0.492,39.364,4065.0,
dP.meA.Me_dL.meL.dP.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,2510.0,298.15,77.3075,41.235,36.0725,7.0967,36.0725,62.0138,0.035795,150.96,0.247,75.479,2510.0,
Pr_Gly.L.dL.P.Me_dL.F,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,3906.0,298.15,78.0494,42.3645,35.6849,7.0053,35.6849,59.1145,0.038872,148.23,0.75,26.113,3906.0,
dA.meL.meL.dP.dL.F,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,1812.0,298.15,91.8812,48.8703,43.0109,7.398,43.0109,58.9489,0.04784,148.23,0.569,31.556,1812.0,
Me_dA.meL.dL.dP.dL.F,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,5233.0,298.15,90.363,40.174,50.189,10.1593,50.189,69.15,0.055683,148.23,0.504,47.775,5233.0,
meA.Me_dL.bHph.P.dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N1C,2063.0,298.15,83.2739,44.4381,38.8358,8.5169,38.8358,57.7637,0.040766,148.23000000000002,0.383,61.88,2063.0,
dP.A.dL.dL.dP.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,2397.0,298.15,84.8912,52.1394,32.7518,6.2612,32.7518,68.0369,0.034486,177.33,0.151,70.133,2397.0,
dP.dA.meL.meL.dP.meL.F,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,4094.0,298.15,86.4946,36.1371,50.3575,8.3068,50.3575,56.8714,0.05053,159.75000000000003,0.427,46.763,4094.0,
dP.bHph.Me_dL.meL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,4654.0,298.15,77.7794,39.4394,38.34,7.4302,38.34,56.9389,0.036269,159.75,0.392,61.344,4654.0,
Pr_Gly.Me_dL.dL.dP.Me_dL.F,CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,2382.0,298.15,82.9668,33.0119,49.9549,13.0963,49.9549,72.2145,0.051823,139.44,0.759,20.094,2382.0,
dA.dL.bHph.P.meL.F,CC(C)C[C@H]1NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,1250.0,298.15,95.59,37.6165,57.9735,12.0319,57.9735,54.8404,0.061478,157.02,0.192,66.773,1250.0,
meA.dL.dL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,1880.0,298.15,74.8913,51.2682,23.6231,5.8405,23.6231,54.8791,0.026261,148.23000000000002,0.459,56.925,1880.0,
dA.cHexCH2_Gly.dL.Nle.dP.Mono34,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,5368.0,298.15,104.5084,58.7277,45.7807,7.0743,45.7807,82.3627,0.047341,157.46,0.202,56.143,5368.0,
P.A.L.Me_dL.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,1786.0,298.15,107.2579,58.6426,48.6153,8.6415,48.6153,77.7227,0.052554,177.32999999999998,0.145,78.789,1786.0,
P.Me_dA.dL.bHph.P.Bn_Gly.F,CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,494.0,298.15,103.5022,62.6312,40.871,8.2532,40.871,82.2723,0.042687,168.54,0.388,35.306,494.0,
P.bHph.dL.Me_dL.dP.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,2095.0,298.15,83.1371,35.2572,47.8799,7.8347,47.8799,51.706,0.045985,168.54000000000002,0.504,13.651,2095.0,
dP.A.dL.dL.P.meL.F,CC(C)C[C@H]1NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,2143.0,298.15,94.7627,36.6558,58.1069,8.2303,58.1069,66.6654,0.059305,177.33,0.162,80.366,2143.0,
dA.meL.meL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,3089.0,298.15,84.7441,43.9666,40.7775,7.4823,40.7775,65.7902,0.044364,139.44000000000003,0.625,28.737,3089.0,
dP.meA.L.dL.dP.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,2259.0,298.15,99.347,51.6135,47.7335,10.9074,47.7335,62.0919,0.049573,168.54,0.158,77.276,2259.0,
dP.dA.L.meL.P.meL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,3370.0,298.15,86.5733,50.4212,36.1521,9.0661,36.1521,52.0469,0.038031,168.54000000000002,0.363,62.616,3370.0,
Pr_Gly.meL.Me_dL.dP.Bn_Gly.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,4982.0,298.15,78.6157,34.0202,44.5955,9.817,44.5955,61.8387,0.044806,130.65,1.143,11.388,4982.0,
F.3-pyridylethyl_Gly.meL.Nle.dP.Pr_Gly,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCc2cccnc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCC)C(=O)[C@H]2CCCN2C1=O,4330.0,298.15,106.9582,58.7584,48.1998,6.9903,48.1998,78.7268,0.048341,152.33,0.476,48.849,4330.0,
meA.meL.L.dP.Bn_Gly.F,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,1335.0,298.15,84.0242,45.8682,38.156,8.2862,38.156,55.9967,0.04117,139.44,0.589,33.845,1335.0,
dP.dA.meL.Bn_Gly.P.dL.F,CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,1285.0,298.15,98.0374,51.8922,46.1452,8.1295,46.1452,67.8824,0.049372,168.54,0.331,57.62,1285.0,
Nal.MeOEt_Gly.meL.Nle.dP.Et_Gly,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCOC)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6980.0,298.15,87.9695,53.858,34.1115,7.0905,34.1115,68.6515,0.035193,148.67000000000002,1.045,18.046,6980.0,
dP.dA.dL.Me_dL.dP.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,1730.0,298.15,76.9382,48.6101,28.3281,5.4988,28.3281,67.6578,0.030445,168.54,0.809,28.568,1730.0,
dA.Me_dL.dL.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,6220.0,298.15,103.8619,44.6924,59.1695,12.2156,59.1695,87.2168,0.064732,148.23,0.701,25.74,6220.0,
dP.bHph.meL.L.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,3295.0,298.15,88.3456,42.3409,46.0047,10.3868,46.0047,49.0647,0.043656,168.54,0.212,64.525,3295.0,
dP.A.Me_dL.L.P.Me_dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,5009.0,298.15,84.8517,47.1813,37.6704,6.8939,37.6704,66.5432,0.038467,168.54,0.745,34.235,5009.0,
F.Mono38.meL.Nle.dP.Mono45,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2Cn2cccn2)C(=O)[C@H]2CCCN2C1=O,5024.0,298.15,109.1276,56.4764,52.6512,12.0731,52.6512,61.1032,0.049654,166.49,0.689,26.392,5024.0,
dA.Me_dL.Bn_Gly.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,1239.0,298.15,83.4728,46.3519,37.1209,7.2379,37.1209,63.5289,0.040616,148.23,0.282,66.483,1239.0,
L.iBu_Gly.iBu_Gly.L.dP.Bn(4-OH)_Gly,CC(C)C[C@@H]1NC(=O)CN(Cc2ccc(O)cc2)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)CN(CC(C)C)C(=O)CN(CC(C)C)C1=O,2154.0,298.15,127.9098,84.9632,42.9466,6.8753,42.9466,107.1695,0.046075,159.67000000000002,0.152,84.948,2154.0,
Pr_Gly.L.bHph.dP.dL.F,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,1862.0,298.15,83.2037,30.8586,52.3451,9.9886,52.3451,57.7797,0.05302,157.01999999999998,0.354,34.778,1862.0,
dP.Pr_Gly.L.L.dP.Me_dL.F,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,4797.0,298.15,105.17,52.6325,52.5375,15.5254,52.5375,60.9271,0.053173,168.54,0.762,30.945,4797.0,
P.Pr_Gly.Bn_Gly.Bn_Gly.dP.meL.F,CCCN1CC(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,2720.0,298.15,98.2626,45.0575,53.2051,11.6522,53.2051,83.9149,0.050688,150.96,0.751,22.479,2720.0,
dP.A.meL.Bn_Gly.dP.dL.F,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,3669.0,298.15,116.1361,59.8807,56.2554,11.2508,56.2554,78.6669,0.058409,168.54,0.417,0.145,3669.0,
P.Me_dA.L.Me_dL.P.dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,5170.0,298.15,90.6863,38.0364,52.6499,12.0727,52.6499,83.0954,0.054343,168.54,0.755,37.189,5170.0,
L.Me_dAbu.meL.L.dP.meY,CC[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N1C,4642.0,298.15,108.5169,61.8049,46.712,9.8027,46.712,82.477,0.048515,159.67,0.675,32.383,4642.0,
dP.Pr_Gly.meL.Bn_Gly.dP.Me_dL.F,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,969.0,298.15,67.8049,37.2113,30.5936,6.1159,30.5936,59.9575,0.03008,150.96,0.2,78.881,969.0,
dP.dA.L.dL.P.dL.F,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,3506.0,298.15,101.6179,45.035,56.5829,9.4506,56.5829,65.4753,0.057909,186.12,0.222,58.763,3506.0,
F.Mono38.L.Nle.P.Mono1,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,6801.0,298.15,160.6856,104.4827,56.2029,12.9999,56.2029,143.8176,0.052082,175.92,1.197,3.751,6801.0,
